All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                              assembly
# misassemblies                       502     
  # contig misassemblies              502     
    # c. relocations                  494     
    # c. translocations               7       
    # c. inversions                   1       
    # c. interspecies translocations  0       
  # scaffold misassemblies            0       
    # s. relocations                  0       
    # s. translocations               0       
    # s. inversions                   0       
    # s. interspecies translocations  0       
# misassembled contigs                55      
Misassembled contigs length           9764040 
# possibly misassembled contigs       579     
    # possible misassemblies          1542    
# local misassemblies                 218     
# scaffold gap ext. mis.              0       
# scaffold gap loc. mis.              0       
# unaligned mis. contigs              251     
# mismatches                          461741  
# indels                              73409   
    # indels (<= 5 bp)                71964   
    # indels (> 5 bp)                 1445    
Indels length                         134409  
