All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         assembly
# misassemblies                  250     
  # contig misassemblies         250     
    # c. relocations             250     
    # c. translocations          0       
    # c. inversions              0       
  # scaffold misassemblies       0       
    # s. relocations             0       
    # s. translocations          0       
    # s. inversions              0       
# misassembled contigs           23      
Misassembled contigs length      5906094 
# possibly misassembled contigs  105     
    # possible misassemblies     468     
# local misassemblies            133     
# scaffold gap ext. mis.         0       
# scaffold gap loc. mis.         0       
# unaligned mis. contigs         70      
# mismatches                     253442  
# indels                         32448   
    # indels (<= 5 bp)           31808   
    # indels (> 5 bp)            640     
Indels length                    60817   
