Assembly	assembly
# misassemblies	231
  # contig misassemblies	231
    # c. relocations	230
    # c. translocations	0
    # c. inversions	1
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	21
Misassembled contigs length	3405160
# possibly misassembled contigs	202
    # possible misassemblies	521
# local misassemblies	52
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	69
# mismatches	58709
# indels	15868
    # indels (<= 5 bp)	15499
    # indels (> 5 bp)	369
Indels length	30612
