Assembly	assembly
# misassemblies	19
  # contig misassemblies	19
    # c. relocations	12
    # c. translocations	7
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	10
Misassembled contigs length	447948
# possibly misassembled contigs	28
    # possible misassemblies	82
# local misassemblies	31
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	23
# mismatches	41722
# indels	6008
    # indels (<= 5 bp)	5922
    # indels (> 5 bp)	86
Indels length	10018
