S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
CONTIG	contig_1	242132	unaligned
368858	370257	6625	5206	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_10	92.28		True
CONTIG	contig_10	12382	correct_unaligned
1351926	1352002	191796	191872	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	100.0		False
1351930	1352002	192032	192104	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	100.0		False
1351927	1352002	192141	192216	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	100.0		False
4234221	4234344	319018	318894	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	96.8		False
4808803	4812060	3253	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	96.21		False
4576829	4579896	3063	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	96.82		True
unknown
4543403	4544206	36113	35309	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	90.06		True
unknown
4532389	4532609	46980	46761	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	92.31		True
unknown
4808803	4813827	156269	151094	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	93.29		True
unknown
4411697	4411803	161926	161822	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	98.13		True
unknown
4399299	4401366	173553	171482	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	90.33		True
unknown
4397065	4397720	176853	176198	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	91.31		True
unknown
4369963	4371273	205582	204273	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	90.08		True
unknown
4347361	4348957	227049	225450	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	92.02		True
unknown
4321905	4322473	262199	261630	Raoultella_ornithinolytica_NZ_CP138913.1	contig_100	92.64		True
unknown
CONTIG	contig_100	351402	mis_unaligned
1242244	1242480	8209	7973	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1000	94.51		True
CONTIG	contig_1000	24332	correct_unaligned
2520515	2520696	61170	61351	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1001	90.66		True
CONTIG	contig_1001	100852	correct_unaligned
CONTIG	contig_1002	79631	unaligned
CONTIG	contig_1003	4565	unaligned
CONTIG	contig_1004	11675	unaligned
CONTIG	contig_1005	27925	unaligned
CONTIG	contig_1006	4297	unaligned
CONTIG	contig_1007	116571	unaligned
CONTIG	contig_1008	103328	unaligned
CONTIG	contig_1009	325485	unaligned
1131	1221	2099	2009	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_101	96.7		False
2817436	2817633	2737	2540	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_101	90.4		False
493	724	2737	2506	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_101	90.52		False
20	251	2506	2737	Trichococcus_pasteurii_NZ_UETS01000010.1	contig_101	90.52		False
5360261	5363323	1	3056	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.97		False
620596	623658	1	3056	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.97		False
4618197	4621258	3056	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.94		False
4576822	4579883	3056	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.94		False
3806062	3809123	3056	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.94		False
4176162	4179223	3056	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.94		False
4808802	4812047	3237	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.5		False
3794498	3794578	3363	3284	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	97.53		False
3803959	3804051	3368	3277	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	97.85		False
4705787	4706003	3488	3277	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	93.58		False
4174353	4176086	90730	88999	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.84		False
4575013	4576746	90730	88999	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.84		False
4706068	4707801	90730	88999	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.84		False
3804253	3805986	90730	88999	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.84		False
4616388	4618121	90730	88999	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.84		False
5358480	5360214	88999	90731	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.9		False
618815	620549	88999	90731	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.9		False
3256066	3256212	91734	91588	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_101	92.57		False
1131	1221	93190	93100	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_101	96.7		False
2817436	2817633	93828	93631	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_101	90.4		False
20	251	93597	93828	Trichococcus_pasteurii_NZ_UETS01000010.1	contig_101	90.52		False
493	724	93828	93597	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_101	90.52		False
620575	623656	91072	94145	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.92		False
5360240	5363321	91072	94145	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.92		False
4576824	4579904	94145	91072	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.89		False
4618199	4621279	94145	91072	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.89		False
3806064	3809144	94145	91072	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.89		False
4176164	4179244	94145	91072	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.89		False
4707879	4710959	94145	91072	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.89		False
2252080	2252237	133216	133373	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	93.04		False
4965831	4965990	169485	169643	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	93.75		False
4728932	4729074	194324	194182	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	90.91		False
4722321	4722458	202165	202028	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	94.2		False
4616388	4618149	215493	213733	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.62		False
4575013	4576774	215493	213733	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.62		False
4174353	4176114	215493	213733	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.62		False
3804253	3806014	215493	213733	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.62		False
4706068	4707829	215493	213733	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.62		False
618787	620549	213733	215494	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.67		False
5358452	5360214	213733	215494	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.67		False
3256066	3256212	216495	216349	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_101	92.57		False
1131	1221	217953	217863	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_101	96.7		False
2817437	2817633	218590	218394	Tetrasphaera_elongata_Lp2_NZ_HF570956.1	contig_101	90.36		False
20	250	218360	218590	Trichococcus_pasteurii_NZ_UETS01000010.1	contig_101	90.48		False
494	724	218590	218360	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_101	90.48		False
5360240	5363321	215833	218907	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.8		False
620575	623656	215833	218907	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.8		False
4176164	4179244	218907	215833	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.76		False
4576824	4579904	218907	215833	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.76		False
4707879	4710959	218907	215833	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.76		False
4618199	4621279	218907	215833	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.76		False
3806064	3809144	218907	215833	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.76		False
1607280	1607364	222993	222910	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.47		False
5363376	5363454	223183	223261	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	100.0		False
5331223	5332387	223381	224545	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	97.25		False
4707877	4710938	3056	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.94		True
unknown
4693364	4695363	17226	15229	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	90.69		True
unknown
4677813	4678005	32364	32172	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	90.67		True
unknown
4812094	4813827	90730	88999	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.84		True
unknown
4808764	4812068	94376	91072	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.3		True
unknown
4801096	4801220	101943	101820	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	95.2		True
unknown
4791456	4794891	111859	108424	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	91.34		True
unknown
4744939	4745209	170710	170440	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	91.51		True
unknown
4737083	4737344	178508	178247	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	90.87		True
unknown
4812094	4813855	215493	213733	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.62		True
unknown
4808813	4812068	219083	215833	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	96.39		True
unknown
4599687	4612599	235710	222761	Raoultella_ornithinolytica_NZ_CP138913.1	contig_101	92.65		True
unknown
CONTIG	contig_101	235743	mis_unaligned
CONTIG	contig_1010	5749	unaligned
CONTIG	contig_1011	36871	unaligned
CONTIG	contig_1012	38736	unaligned
CONTIG	contig_1013	32096	unaligned
129	239	446350	446240	Trichococcus_pasteurii_NZ_UETS01000010.1	contig_1014	93.69		False
