bin	bin_set	unique_SCGs	redundant_SCGs	SCG_set	size	contigs	N50	bin_score	SCG_completeness	SCG_redundancy
CONCOCT.38	CONCOCT	47	0	bacteria	4532806	8	4268049	0.92156862745098	92	0
CONCOCT.2	CONCOCT	47	0	bacteria	5703900	58	308233	0.92156862745098	92	0
bins.002	MaxBin2	46	0	bacteria	3424089	3	3403497	0.901960784313725	90	0
1537	GraphMB	44	0	bacteria	3416273	1	3416273	0.862745098039216	86	0
CONCOCT.34	CONCOCT	46	2	bacteria	4575854	45	301513	0.856265984654731	90	4
CONCOCT.19	CONCOCT	43	0	bacteria	6389249	53	908490	0.843137254901961	84	0
787	GraphMB	39	0	bacteria	5331338	6	5242943	0.764705882352941	76	0
CONCOCT.24	CONCOCT	39	1	bacteria	3431530	32	430814	0.739517345399698	76	2
318	GraphMB	37	0	bacteria	2145868	3	673779	0.725490196078431	73	0
1106	GraphMB	36	0	bacteria	2377271	1	2377271	0.705882352941177	71	0
752_sub	GraphMB	38	2	bacteria	4856360	39	450367	0.69391124871001	75	4
1181	GraphMB	35	0	bacteria	975949	4	341053	0.686274509803922	69	0
CONCOCT.41	CONCOCT	41	5	bacteria	13834463	273	102183	0.681731229076997	80	10
CONCOCT.4	CONCOCT	37	3	bacteria	8439635	167	185825	0.6474297827239	73	6
103	GraphMB	32	0	bacteria	3681081	10	765949	0.627450980392157	63	0
1351	GraphMB	32	0	bacteria	975695	9	357533	0.627450980392157	63	0
159	GraphMB	31	0	bacteria	1037508	1	1037508	0.607843137254902	61	0
CONCOCT.78	CONCOCT	31	0	bacteria	4162137	23	641691	0.607843137254902	61	0
707	GraphMB	31	0	bacteria	3487865	18	303501	0.607843137254902	61	0
736	GraphMB	31	0	bacteria	4120606	29	279644	0.607843137254902	61	0
1518	GraphMB	35	3	bacteria	1308509	1	1308509	0.605434173669468	69	6
815	GraphMB	32	1	bacteria	3083332	45	133486	0.598897058823529	63	2
CONCOCT.77	CONCOCT	30	0	bacteria	4424288	31	573271	0.588235294117647	59	0
2639	GraphMB	33	2	bacteria	899954	6	836607	0.581283422459893	65	4
1251	GraphMB	31	1	bacteria	3376688	10	492113	0.578684376976597	61	2
3056	GraphMB	35	4	bacteria	1048476	5	955735	0.578487394957983	69	8
703	GraphMB	35	5	bacteria	1416867	31	92030	0.551540616246499	69	10
CONCOCT.20	CONCOCT	28	0	bacteria	3371897	10	897248	0.549019607843137	55	0
778_sub	GraphMB	27	0	bacteria	219900	2	167442	0.529411764705882	53	0
788	GraphMB	30	2	bacteria	1419764	7	719818	0.528627450980392	59	4
1699	GraphMB	26	0	bacteria	3509934	7	1910145	0.509803921568627	51	0
bins.042	MaxBin2	26	0	bacteria	710409	3	344688	0.509803921568627	51	0
823_sub	GraphMB	44	6	bacteria	7128243	27	615875	0.663279857397505	86	12
CONCOCT.17	CONCOCT	34	6	bacteria	4632494	29	353823	0.501960784313726	67	12
1090_sub	GraphMB	42	7	bacteria	7261372	27	678429	0.586274509803921	82	14
394_sub	GraphMB	40	10	bacteria	11708273	130	213447	0.516666666666667	78	20
